"variable","label","role","type","unit","reference","levels","measurement_time","availability_time","relation_to_time_zero","missing_code","valid_min","valid_max","impute","mice_method","include_in_model","notes","variable_name","data_type","required","include_in_ps","include_in_imputation_model","reference_level"
"subject_id","Analysis-unit identifier","population_id","character","not_applicable","","","baseline","time_zero","at","","","",FALSE,"",FALSE,"One independent analysis unit per subject in this runtime","subject_id","character",TRUE,FALSE,FALSE,""
"analysis_id","Analysis record key","descriptive_only","character","not_applicable","","","baseline","time_zero","at","","","",FALSE,"",FALSE,"Unique analysis key","analysis_id","character",TRUE,FALSE,FALSE,""
"eligibility_time","Eligibility time","eligibility","datetime","ISO_8601","","","time_zero","time_zero","at","","","",FALSE,"",FALSE,"Must equal time_zero","eligibility_time","datetime",TRUE,FALSE,FALSE,""
"time_zero","Time zero","time","datetime","ISO_8601","","","time_zero","time_zero","at","","","",FALSE,"",FALSE,"ISO 8601 with timezone","time_zero","datetime",TRUE,FALSE,FALSE,""
"treatment_assignment_time","Treatment assignment time","time","datetime","ISO_8601","","","time_zero","time_zero","at","","","",FALSE,"",FALSE,"Must equal time_zero","treatment_assignment_time","datetime",TRUE,FALSE,FALSE,""
"followup_start","Follow-up start","time","datetime","ISO_8601","","","time_zero","time_zero","at","","","",FALSE,"",FALSE,"Must equal time_zero","followup_start","datetime",TRUE,FALSE,FALSE,""
"followup_end","Follow-up end","time","datetime","ISO_8601","","","follow_up","follow_up_end","after","","","",FALSE,"",FALSE,"Must be after followup_start","followup_end","datetime",TRUE,FALSE,FALSE,""
"treatment","Treatment assignment","treatment","integer","binary","0","0|1","time_zero","time_zero","at","",0,1,FALSE,"",TRUE,"Binary 0/1","treatment","integer",TRUE,FALSE,TRUE,"0"
"outcome","Outcome","outcome","double","profile_specific","","","follow_up","follow_up_end","after","","","",FALSE,"",TRUE,"Binary for BASELINE_BINARY_RISK; continuous for MI_PS_CONTINUOUS_ATE","outcome","profile_specific",TRUE,FALSE,TRUE,""
"x","Baseline confounder x","baseline_confounder","double","user_defined","","","baseline","time_zero","before","","","",TRUE,"pmm",TRUE,"Missingness allowed only in MI_PS_CONTINUOUS_ATE","x","numeric",TRUE,TRUE,TRUE,""
"z","Baseline confounder z","baseline_confounder","double","user_defined","","","baseline","time_zero","before","","","",FALSE,"",TRUE,"Must be complete","z","numeric",TRUE,TRUE,TRUE,""
